feature_key,name,module,fiscal_weight,status,value_score,necessity,created_in_version,estimated_dev_cost,description,dependencies
auth_magic_link,Magic link,auth,5,public,5,optional,1.2.0,S,Jelszó nélküli belépés.,auth_email_signup
auth_password_reset,Jelszó-visszaállítás,auth,9,public,9,required,1.0.0,S,Önkiszolgáló helyreállítás.,auth_email_signup
azure_devops,Azure DevOps integráció,agile,7,public,7,optional,3.0.1,L,Microsoft ökoszisztéma.,workspace_create
backlog_browser,Backlog böngésző,agile,6,public,6,optional,3.0.0,M,Backlog grooming.,agile_panel
birthday_widget,Születésnapok widget,calendar,4,public,4,optional,2.5.0,S,Csapat-kohézió.,members_list
branding,Branding / arculat,settings,7,public,7,recommended,3.0.0,M,Whitelabel/logo.,workspace_create
burnout_engine,Burnout & Wellbeing engine,reports,8,public,8,optional,3.9.0,L,Wellbeing predikció.,leave_my_view;attendance_log
business_roles,Munkakör kezelés,resources,8,public,8,required,3.0.0,S,Role-katalógus.,members_list
calendar_filters,Naptár szűrők,calendar,7,public,7,recommended,2.0.0,S,Személyre szabott nézet.,calendar_monthly
calendar_monthly,Havi naptár,calendar,10,public,10,required,1.0.0,M,Vizuális áttekintés.,leave_my_view
capacity_dna,Kapacitás DNA,resources,6,public,6,optional,3.0.0,L,Csapat-DNS profil.,skills_mgmt;members_list
capacity_fit,Kapacitás-illeszkedés,agile,6,public,6,optional,3.0.0,L,Sprint-cap match.,capacity_dna;agile_panel
capacity_gap,Kapacitás-hiány riport,resources,8,public,8,recommended,3.0.0,M,Felvételi terv.,resource_dashboard
company_days,Cég-szintű napok,rules,6,public,6,recommended,2.5.0,S,Vállalati zárva.,holidays
contract_types,Szerződéstípusok,org,7,public,7,required,2.5.0,S,Foglalkoztatás-típus.,members_list
coverage_planner,Kapacitástervező,calendar,9,public,9,recommended,3.0.0,L,Műszak/lefedettség.,calendar_monthly;office_coverage_rules
csv_import,CSV import,settings,8,public,8,recommended,3.5.0,M,Bulk migráció.,members_list
decision_memory,Döntésmemória figyelés,approvals,5,public,5,optional,3.0.0,L,Lejárt döntések.,approval_individual
demo_workspace_seed,Demo workspace seed,workspace,8,public,8,recommended,3.1.1,M,Onboarding gyorsítás új ügyfeleknek.,workspace_create
email_preview,E-mail előnézet,admin,4,public,4,optional,2.5.0,S,Dev tool.,admin_dashboard
email_unsubscribe,Leiratkozás,auth,6,public,6,required,1.5.0,S,CAN-SPAM/GDPR.,
escalation,Eszkaláció,approvals,6,public,6,optional,3.0.0,M,SLA betartás.,approval_chain
executive_dashboard,Executive Analytics,reports,8,public,8,recommended,3.8.0,L,C-suite KPI dashboard.,run_report
export_center,Riport export,reports,9,public,9,required,3.5.0,M,CSV/XLSX letöltés.,run_report
feature_flags,Platform Feature Flags,platform,10,public,10,required,3.13.0,M,Tier alap.,superadmin_control_plane
financials,Pénzügyi panel,resources,8,public,8,recommended,3.0.0,L,Költség/bevétel.,projects
gantt_timeline,Gantt idővonal,resources,9,public,9,recommended,3.3.0,L,Klasszikus terv-eszköz.,projects
google_calendar_sync,Google Workspace naptár szinkron,calendar,9,planned,9,recommended,3.16.0,L,Google-első cégek.,calendar_monthly;leave_submit
help_drawer,Kontextuális súgó,help,7,public,7,recommended,3.2.0,M,Onboarding-segéd.,workspace_create
help_regenerator,Help cikkek újragenerálása,help,4,public,4,optional,3.2.0,M,AI-content.,help_settings
help_registry,Help anchor regisztráció,help,4,public,4,optional,3.2.0,S,Dev infra.,help_drawer
help_settings,Help rendszer beállítások,settings,4,public,4,optional,3.2.0,S,KB szerkesztés.,workspace_create
holiday_sync,Ünnepnap szinkronizáció,rules,7,public,7,recommended,2.0.0,S,Országonkénti automatika.,holidays
holidays,Ünnepnapok,rules,9,public,9,required,1.5.0,S,Munkanap-számítás.,workspace_create
ical_feed,iCal feed,calendar,6,public,6,recommended,2.5.0,M,Outlook/Google subscribe.,calendar_monthly
industries,Iparágak,org,4,public,4,optional,3.0.0,S,Benchmark-targeting.,workspace_create
instant_member_create,Azonnali tag létrehozás,members,4,public,4,optional,2.0.0,S,Bulk onboarding ATS-ből.,members_list
integration_health,Integráció egészség,settings,6,public,6,recommended,3.0.0,M,Monitoring.,workspace_create
invitation_accept,Meghívó elfogadása,members,10,public,10,required,1.0.0,S,Meghívó flow zárás.,members_invite
issue_writeback,Issue writeback,agile,7,public,7,optional,3.0.1,M,Kétirányú Jira.,jira_integration
jira_integration,Jira integráció,agile,9,public,9,recommended,3.0.1,L,Atlassian ökoszisztéma.,workspace_create
jira_issue_editor,Jira issue szerkesztő,agile,6,public,6,optional,3.0.1,M,Inline edit.,jira_integration
job_families,Állásfamilák,org,6,public,6,recommended,3.0.0,S,Career path.,members_list
kanban,Kanban tábla,agile,7,public,7,optional,3.0.0,M,Vizuális workflow.,agile_panel
leadership_levels,Vezetési szintek,org,6,public,6,recommended,2.5.0,S,Hierarchia-kategória.,org_structure
leave_blocked_dates,Tiltott napok,rules,8,public,8,recommended,2.5.0,S,Csúcsidőszak védelme.,leave_submit
leave_cancel,Kérelem visszavonása,leave,8,public,8,required,1.5.0,S,Felhasználói önkiszolgálás.,leave_submit
leave_conflict_check,Ütközésellenőrzés,leave,9,public,9,required,2.5.0,M,Csapat-lefedettség védelem.,leave_submit;leave_blocked_dates;leave_daily_rules
leave_daily_rules,Napi szabályok (headcount),rules,8,public,8,recommended,2.5.0,M,Lefedettségi minimum.,
leave_half_day,Félnapos kérelem,leave,7,public,7,recommended,1.5.0,S,Rugalmasság.,leave_submit
leave_my_view,Saját kérelmek,leave,9,public,9,required,1.0.0,S,Áttekintés.,leave_submit
leave_private,Privát kérelem,leave,5,public,5,optional,2.0.0,S,Érzékeny szabadság (orvosi).,leave_submit
leave_quota_balance,Kvóta egyenleg,leave,9,public,9,required,2.0.0,M,Maradványnap számítás.,leave_submit;leave_quotas
leave_quotas,Kvóta admin,leave,9,public,9,required,2.0.0,M,HR-szabályozás.,members_list
leave_submit,Szabadságkérelem beküldése,leave,10,public,10,required,1.0.0,M,Self-service alap.,members_list
leave_team_view,Csapat kérelmei,leave,9,public,9,required,1.5.0,S,Vezetői átláthatóság.,leave_my_view;members_list
leave_types,Szabadságtípusok,rules,9,public,9,required,2.0.0,S,Típus-taxonómia.,workspace_create
localization,Lokalizáció / fordítás,settings,8,public,8,recommended,2.5.0,M,5 nyelv.,ws_general
member_deactivate,Tag deaktiválása,members,8,public,8,required,1.5.0,S,Kilépő dolgozók.,members_list
member_edit,Tag adatainak szerkesztése,members,8,public,8,required,1.5.0,S,HR alapadatok.,members_list
member_role_change,Tag szerepkörének változtatása,members,9,public,9,required,1.5.0,S,Jogosultságkezelés.,members_list
members_invite,Tag meghívása,members,10,public,10,required,1.0.0,S,Csapatépítés.,members_list
members_list,Tagok listázása,members,10,public,10,required,1.0.0,S,Csapat-átláthatóság.,workspace_create
ms365_calendar_sync,M365 naptár szinkron (kétirányú),calendar,10,beta,10,recommended,3.15.0,L,Vállalati go/no-go.,calendar_monthly;leave_submit
multilingual,5-locale full coverage,platform,8,public,8,recommended,3.14.0,M,EU-coverage.,localization
notification_prefs,Értesítési preferenciák,settings,7,public,7,required,2.0.0,S,Önkiszolgálás.,notifications
notifications,Értesítések,settings,8,public,8,required,2.0.0,M,E-mail/in-app.,workspace_create
office_coverage_rules,Telephelyi lefedettségi szabályok,rules,8,public,8,recommended,3.0.0,M,Telephely-szintű kontroll.,offices;leave_daily_rules
offices,Irodák / telephelyek,members,9,public,9,required,1.5.0,M,Telephely-szervezés.,workspace_create
onboarding_inbox,Onboarding inbox,workflows,7,public,7,recommended,3.7.0,M,Feladat-tracking.,onboarding_template
onboarding_template,Onboarding sablon,workflows,8,public,8,recommended,3.7.0,M,Új belépő checklist.,members_list
open_api,Open API / Developer Platform,platform,8,public,8,optional,3.10.0,L,API hozzáférés.,workspace_create
org_chart,Org chart megjelenítés,org,8,public,8,recommended,3.3.0,M,Vizuális hierarchia.,org_structure
org_chart_fullscreen,Org chart fullscreen,org,4,public,4,optional,3.4.0,S,Bemutató mód.,org_chart
org_chart_panzoom,Org chart pan/zoom,org,6,public,6,optional,3.3.1,M,Nagy szervezet böngészés.,org_chart
org_chart_snapshot,Org chart snapshot,org,6,public,6,optional,3.4.0,M,Időbeli változás-archív.,org_chart
org_structure,Szervezeti struktúra,org,9,public,9,required,2.0.0,M,Szervezet-modell.,members_list
payroll_engine,Payroll Integration Engine,platform,9,public,9,recommended,3.11.0,L,Multi-payroll-rendszer.,payroll_export
payroll_export,Bérszámfejtési export,attendance,9,public,9,recommended,3.6.0,L,Bér-átadás.,attendance_periods
profile_edit,Profil szerkesztése,auth,9,public,9,required,1.0.0,S,Felhasználói alapadat-karbantartás.,auth_email_login
project_editor,Projekt szerkesztő,resources,9,public,9,required,3.0.0,M,CRUD.,projects
projects,Projektek,resources,9,public,9,required,3.0.0,M,Projekt-modell.,workspace_create
recovery_mode,Helyreállítási mód,workspace,5,public,5,optional,2.0.0,M,Vész-helyreállítás superadmin-mal.,workspace_create
resource_dashboard,Erőforrás áttekintő,resources,8,public,8,recommended,3.0.0,M,Kapacitás-vezérlőpult.,members_list
role_permissions,Szerepkör-jogosultságok,settings,9,public,9,required,2.5.0,M,Granular RBAC.,members_list
rule_templates,Szabálysablon könyvtár,rules,6,public,6,optional,3.0.0,M,Gyors konfiguráció.,leave_daily_rules
run_report,Riport futtatás,reports,9,public,9,required,2.5.0,M,Vezetői KPI.,leave_my_view
scenario_planner,Forgatókönyv tervező,resources,7,public,7,optional,3.0.0,L,What-if elemzés.,projects;resource_dashboard
scheduled_reports,Ütemezett riport,reports,7,public,7,recommended,3.5.0,M,E-mail riport.,run_report
scrum,Scrum tábla,agile,7,public,7,optional,3.0.0,M,Sprint-kezelés.,agile_panel
site_assignment,Telephely beosztás,attendance,7,public,7,recommended,3.7.7,M,Műszak/telephely.,offices;attendance_log
skill_capacity_report,Készség-kapacitás riport,calendar,7,public,7,optional,3.0.0,L,Készség-szűk keresztmetszet.,timeline_view;skills_mgmt
skills_mgmt,Készségek kezelése,resources,8,public,8,recommended,3.0.0,M,Skill-mátrix.,members_list
soc2_iso,SOC2/ISO27001 Security Center,platform,9,public,9,recommended,3.12.0,L,Compliance bizonyíték.,audit_log
substitute_inbox,Helyettesítési felkérés,leave,6,public,6,optional,2.5.0,M,Lefedettség-biztosítás.,leave_submit;members_list
superadmin_control_plane,Superadmin Control Plane,admin,10,public,10,required,3.13.0,L,Platform vezérlő.,admin_dashboard
teams,Csapatok kezelése,members,9,public,9,required,1.5.0,M,Csapat-struktúra.,members_list
timeline_view,Idővonal nézet,calendar,7,public,7,recommended,2.5.0,M,Hosszú periódusú átlátás.,leave_my_view;calendar_monthly
ui_section_state,UI szekció állapot,settings,4,public,4,optional,3.0.0,S,UI customization.,workspace_create
utilization_heatmap,Kihasználtság hőtérkép,resources,7,public,7,recommended,3.0.0,M,Túl/alulterhelés.,resource_dashboard
work_categories,Munkakategóriák,org,6,public,6,recommended,3.0.0,S,Költséghely-bontás.,members_list
workspace_archive,Munkaterület archiválása,workspace,6,public,6,recommended,1.5.0,S,Életciklus-kezelés.,workspace_create
workspace_create,Munkaterület létrehozása,workspace,10,public,10,required,1.0.0,S,"Tenancy alap, minden enterprise funkció előfeltétele.",auth_email_login
workspace_delete,Munkaterület törlése,workspace,7,public,7,required,1.5.0,S,Hard delete + GDPR.,workspace_archive
workspace_general_settings,"Általános ws beállítások (TZ, locale)",workspace,9,public,9,required,1.0.0,S,Lokalizáció + időzóna.,workspace_create
workspace_select,Munkaterület váltás,workspace,10,public,10,required,1.0.0,S,Több cég/projekt kezelése egy fiókkal.,workspace_create
ws_general,Általános ws beállítások,settings,9,public,9,required,1.0.0,S,TZ/locale/név.,workspace_create
